,0
2001-01-01,-0.18353409
2001-01-02,-0.18372828
2001-01-03,-0.13144256
2001-01-04,-0.08536909
2001-01-05,-0.057509225
2001-01-06,-0.060750335
2001-01-07,-0.10033262
2001-01-08,-0.14188363
2001-01-09,-0.1344817
2001-01-10,-0.11216474
2001-01-11,-0.120023765
2001-01-12,-0.12112715
2001-01-13,-0.10578484
2001-01-14,-0.0916028
2001-01-15,-0.086492874
2001-01-16,-0.10694923
2001-01-17,-0.11991469
2001-01-18,-0.14327008
2001-01-19,-0.16287364
2001-01-20,-0.14635818
2001-01-21,-0.13940255
2001-01-22,-0.13520326
2001-01-23,-0.10537785
2001-01-24,-0.107239746
2001-01-25,-0.12269398
2001-01-26,-0.12645583
2001-01-27,-0.14968772
2001-01-28,-0.17125793
2001-01-29,-0.18690814
2001-01-30,-0.18584831
2001-01-31,-0.19195564
2001-02-01,-0.18161738
2001-02-02,-0.17862512
2001-02-03,-0.1740456
2001-02-04,-0.1853199
2001-02-05,-0.17056876
2001-02-06,-0.15845196
2001-02-07,-0.18863398
2001-02-08,-0.2007543
2001-02-09,-0.20346642
2001-02-10,-0.20679133
2001-02-11,-0.20050065
2001-02-12,-0.21920943
2001-02-13,-0.23844166
2001-02-14,-0.21595275
2001-02-15,-0.19991799
2001-02-16,-0.18575813
2001-02-17,-0.16624169
2001-02-18,-0.11720091
2001-02-19,-0.11472144
2001-02-20,-0.13199882
2001-02-21,-0.12558508
2001-02-22,-0.12361904
2001-02-23,-0.12719056
2001-02-24,-0.15537612
2001-02-25,-0.17856129
2001-02-26,-0.15835622
2001-02-27,-0.106208414
2001-02-28,-0.09624589
2001-03-01,-0.096454374
2001-03-02,-0.10819312
2001-03-03,-0.13493787
2001-03-04,-0.14132464
2001-03-05,-0.10734198
2001-03-06,-0.03209539
2001-03-07,-0.035540696
2001-03-08,-0.081156135
2001-03-09,-0.13894989
2001-03-10,-0.1458571
2001-03-11,-0.15131725
2001-03-12,-0.17039986
2001-03-13,-0.1828727
2001-03-14,-0.16975553
2001-03-15,-0.15197435
2001-03-16,-0.15073635
2001-03-17,-0.14404504
2001-03-18,-0.12482681
2001-03-19,-0.10896119
2001-03-20,-0.094959415
2001-03-21,-0.07412476
2001-03-22,-0.036021154
2001-03-23,-0.05766836
2001-03-24,-0.09816318
2001-03-25,-0.114789605
2001-03-26,-0.11846217
2001-03-27,-0.1163545
2001-03-28,-0.14031722
2001-03-29,-0.16078539
2001-03-30,-0.15802443
2001-03-31,-0.14063102
2001-04-01,-0.108917564
2001-04-02,-0.110751666
2001-04-03,-0.13004498
2001-04-04,-0.12493137
2001-04-05,-0.12003683
2001-04-06,-0.1488278
2001-04-07,-0.18407889
