,0
2001-01-01,-0.024074681
2001-01-02,-0.014299862
2001-01-03,-0.031090027
2001-01-04,-0.02878376
2001-01-05,-0.033440646
2001-01-06,-0.024515072
2001-01-07,-0.012328818
2001-01-08,0.0052326545
2001-01-09,-0.0063318764
2001-01-10,-0.026528383
2001-01-11,-0.024976788
2001-01-12,-0.032252047
2001-01-13,-0.03449647
2001-01-14,-0.03802702
2001-01-15,-0.03766408
2001-01-16,-0.02166766
2001-01-17,-0.019028917
2001-01-18,-0.0099946875
2001-01-19,0.008848756
2001-01-20,0.013462804
2001-01-21,-0.0031587277
2001-01-22,0.0010623041
2001-01-23,-0.013555094
2001-01-24,-0.019377148
2001-01-25,-0.032116596
2001-01-26,-0.047987875
2001-01-27,-0.040167805
2001-01-28,-0.045583576
2001-01-29,-0.029544143
2001-01-30,-0.018412374
2001-01-31,-0.010401883
2001-02-01,-0.017248344
2001-02-02,-0.017640805
2001-02-03,-0.018931024
2001-02-04,-0.018138282
2001-02-05,-0.015837884
2001-02-06,-0.025564134
2001-02-07,-0.034978494
2001-02-08,-0.035261694
2001-02-09,-0.033170585
2001-02-10,-0.022742467
2001-02-11,-0.033865217
2001-02-12,-0.037786994
2001-02-13,-0.030487904
2001-02-14,-0.032711547
2001-02-15,-0.023998812
2001-02-16,-0.01598706
2001-02-17,-0.014634754
2001-02-18,-0.029232286
2001-02-19,-0.032096583
2001-02-20,-0.028365826
2001-02-21,-0.031509105
2001-02-22,-0.0264184
2001-02-23,-0.016115606
2001-02-24,-0.023507139
2001-02-25,-0.01776659
2001-02-26,-0.023458442
2001-02-27,-0.026865402
2001-02-28,-0.021750608
2001-03-01,-0.012865625
2001-03-02,-0.0036112743
2001-03-03,0.005422799
2001-03-04,0.018378587
2001-03-05,-0.00019593397
2001-03-06,-0.060114026
2001-03-07,-0.06340175
2001-03-08,-0.04108316
2001-03-09,3.581277e-05
2001-03-10,0.026653513
2001-03-11,0.011730571
2001-03-12,0.0041512423
2001-03-13,-0.008447207
2001-03-14,-0.0062715453
2001-03-15,0.012455388
2001-03-16,0.012311414
2001-03-17,0.0056039337
2001-03-18,0.007960438
2001-03-19,0.00878432
2001-03-20,-0.0013406648
2001-03-21,-0.020933501
2001-03-22,-0.039710883
2001-03-23,-0.038599692
2001-03-24,-0.030096104
2001-03-25,-0.016370162
2001-03-26,-0.014144617
2001-03-27,-0.026950726
2001-03-28,-0.021389244
2001-03-29,-0.0008485142
2001-03-30,0.024469184
2001-03-31,0.015200707
2001-04-01,0.007094829
2001-04-02,-0.01733219
2001-04-03,-0.027336935
2001-04-04,-0.03161497
2001-04-05,-0.040327802
2001-04-06,-0.03637229
2001-04-07,-0.026769608
2001-04-08,-0.024967447
2001-04-09,-0.025042364
2001-04-10,-0.0114067495
2001-04-11,-0.0089501245
2001-04-12,-0.013502851
2001-04-13,-0.02091205
2001-04-14,-0.026101857
2001-04-15,-0.021276176
2001-04-16,-0.012311225
2001-04-17,-0.014942667
2001-04-18,-0.010675177
2001-04-19,-0.025436962
2001-04-20,-0.04850748
2001-04-21,-0.048692435
2001-04-22,-0.043552786
2001-04-23,-0.035462383
2001-04-24,-0.018954195
2001-04-25,-0.013562873
2001-04-26,-0.011298437
2001-04-27,-0.023170998
2001-04-28,-0.0247249
2001-04-29,-0.024549363
2001-04-30,-0.019318344
2001-05-01,-0.0054646414
2001-05-02,-0.0037033188
2001-05-03,-0.0012827119
2001-05-04,0.0076373867
2001-05-05,-0.004681133
2001-05-06,-0.019672042
2001-05-07,-0.04161345
2001-05-08,-0.03624559
2001-05-09,-0.016855147
2001-05-10,-0.008554944
2001-05-11,-0.0041910713
2001-05-12,-0.010951492
2001-05-13,0.001100791
2001-05-14,-0.008039847
2001-05-15,-0.013560183
2001-05-16,-0.0059455675
2001-05-17,-0.00020717752
2001-05-18,0.00093812187
2001-05-19,0.04189575
2001-05-20,0.078220524
2001-05-21,0.06776349
2001-05-22,0.053396624
2001-05-23,0.024839014
2001-05-24,0.011833489
2001-05-25,0.0103409635
2001-05-26,0.002829007
2001-05-27,0.004230914
2001-05-28,0.007503325
2001-05-29,0.028766854
2001-05-30,0.0062924996
2001-05-31,-0.002520003
2001-06-01,0.01628132
2001-06-02,0.014063529
2001-06-03,0.02229383
2001-06-04,0.011408352
2001-06-05,0.0008632038
2001-06-06,0.0061723604
2001-06-07,0.0022133512
2001-06-08,0.006140605
2001-06-09,0.01345257
2001-06-10,0.0005248245
2001-06-11,0.025436044
2001-06-12,0.007690845
2001-06-13,-0.008009016
2001-06-14,-0.008048668
2001-06-15,-0.015970511
2001-06-16,-0.030741625
2001-06-17,-0.030009424
2001-06-18,-0.011530588
2001-06-19,-0.022959618
2001-06-20,-0.015499297
2001-06-21,-0.007078783
2001-06-22,-0.0040183812
2001-06-23,-0.01301008
2001-06-24,-0.022661328
2001-06-25,-0.015733736
2001-06-26,-0.007672919
2001-06-27,-0.022998162
2001-06-28,-0.026940903
2001-06-29,-0.012656503
2001-06-30,0.0015680095
2001-07-01,-0.005421536
2001-07-02,-0.00720116
2001-07-03,0.002157851
2001-07-04,-0.026065724
2001-07-05,-0.017336683
2001-07-06,-0.0014726287
2001-07-07,-0.003682582
2001-07-08,-0.0076054432
2001-07-09,-0.0019187167
2001-07-10,-0.010546833
2001-07-11,-0.00806901
2001-07-12,-0.0040928363
2001-07-13,-0.010974583
2001-07-14,-0.011936851
2001-07-15,0.012023069
2001-07-16,0.01887054
2001-07-17,0.002555578
2001-07-18,-0.014642353
2001-07-19,-0.010343835
2001-07-20,0.0036208546
2001-07-21,-0.0051511917
2001-07-22,-0.00702271
2001-07-23,9.358915e-05
2001-07-24,3.4834568e-06
2001-07-25,-0.0038628925
2001-07-26,-0.011516467
2001-07-27,-0.00010212356
2001-07-28,-0.0034337493
2001-07-29,-0.03271817
2001-07-30,-0.04327671
