,0
2001-01-01,0.015164316
2001-01-02,0.030260382
2001-01-03,0.012402959
2001-01-04,-0.010586496
2001-01-05,-0.017282605
2001-01-06,-0.018439347
2001-01-07,-0.024094196
2001-01-08,-0.016169323
2001-01-09,0.014866875
2001-01-10,0.017022736
2001-01-11,-0.013732114
2001-01-12,-0.034917828
2001-01-13,-0.04706202
2001-01-14,-0.028301729
2001-01-15,-0.012708705
2001-01-16,-0.020832585
2001-01-17,-0.011915225
2001-01-18,-0.008734736
2001-01-19,0.024556095
2001-01-20,0.04156433
2001-01-21,0.018780874
2001-01-22,0.01132621
2001-01-23,0.015430264
2001-01-24,-0.011452783
2001-01-25,-0.03994594
2001-01-26,-0.036714885
2001-01-27,-0.022495508
2001-01-28,-0.03497961
2001-01-29,-0.034126732
2001-01-30,-0.015303892
2001-01-31,-0.024531836
2001-02-01,-0.012569589
2001-02-02,-0.0027042923
2001-02-03,-0.0110183535
2001-02-04,-0.013835635
2001-02-05,-0.022731183
2001-02-06,-0.044191938
2001-02-07,-0.03981286
2001-02-08,-0.03192628
2001-02-09,-0.032537926
2001-02-10,-0.036668595
2001-02-11,-0.045592338
2001-02-12,-0.051569223
2001-02-13,-0.03196193
2001-02-14,-0.027572565
2001-02-15,-0.017010946
2001-02-16,-0.00333987
2001-02-17,-0.019978844
2001-02-18,-0.043757867
2001-02-19,-0.06273208
2001-02-20,-0.04446845
2001-02-21,-0.029384628
2001-02-22,-0.041935414
2001-02-23,-0.037230458
2001-02-24,-0.034594737
2001-02-25,-0.024356877
2001-02-26,-0.017870242
2001-02-27,-0.03205341
2001-02-28,-0.040674176
2001-03-01,-0.04246283
2001-03-02,-0.036028918
2001-03-03,-0.0017832654
2001-03-04,0.0019384349
2001-03-05,-0.022559261
2001-03-06,-0.039879706
2001-03-07,-0.029336521
2001-03-08,-0.050394837
2001-03-09,-0.030666843
2001-03-10,0.0006965574
2001-03-11,-0.015293595
2001-03-12,-0.04481581
2001-03-13,-0.024420878
2001-03-14,-0.017794324
2001-03-15,0.0013752315
2001-03-16,0.006563568
2001-03-17,-0.023014849
2001-03-18,-0.020892048
2001-03-19,-0.020949906
2001-03-20,-0.029897472
2001-03-21,-0.030665627
2001-03-22,-0.059605453
2001-03-23,-0.05420326
2001-03-24,-0.04913037
2001-03-25,-0.0419315
2001-03-26,-0.029789694
2001-03-27,-0.048539814
2001-03-28,-0.040242475
2001-03-29,0.012073234
2001-03-30,-0.00039954018
2001-03-31,0.011680495
2001-04-01,-0.00207717
2001-04-02,-0.03266956
2001-04-03,-0.046251684
2001-04-04,-0.043054756
2001-04-05,-0.05907144
2001-04-06,-0.055257738
2001-04-07,-0.03664385
2001-04-08,0.0016229177
2001-04-09,-0.00060983346
2001-04-10,-0.025293225
2001-04-11,-0.034440685
2001-04-12,-0.00466709
2001-04-13,-0.026164612
2001-04-14,-0.006363804
2001-04-15,-0.016482089
2001-04-16,-0.029953128
2001-04-17,-0.022526478
2001-04-18,-0.025219804
2001-04-19,-0.0142730335
2001-04-20,-0.036972214
2001-04-21,-0.0650737
2001-04-22,-0.030298203
2001-04-23,-0.02116246
2001-04-24,-0.041679505
2001-04-25,-0.04553551
2001-04-26,-0.034457415
2001-04-27,-0.043594334
2001-04-28,-0.023245366
2001-04-29,0.022643263
2001-04-30,0.017671056
2001-05-01,-0.011091631
2001-05-02,0.009955597
2001-05-03,0.015929632
2001-05-04,0.01735013
2001-05-05,0.023173505
2001-05-06,0.008766142
2001-05-07,0.0053132963
2001-05-08,0.030010292
2001-05-09,0.017317543
2001-05-10,-0.017715065
2001-05-11,-0.019142034
2001-05-12,0.009519433
2001-05-13,0.04999661
2001-05-14,0.056656793
2001-05-15,0.07257057
2001-05-16,0.047297895
2001-05-17,0.016387986
2001-05-18,0.028584309
2001-05-19,0.07341694
2001-05-20,0.0435278
2001-05-21,0.08699173
2001-05-22,0.030772531
2001-05-23,0.03257744
2001-05-24,0.04565825
2001-05-25,0.037032284
2001-05-26,0.069224894
2001-05-27,0.056596816
2001-05-28,0.029742025
2001-05-29,0.027579032
2001-05-30,0.05110237
2001-05-31,0.07823409
2001-06-01,0.058174092
2001-06-02,0.02978616
2001-06-03,0.038376044
2001-06-04,0.038627844
2001-06-05,0.026298918
2001-06-06,0.022211472
2001-06-07,0.036532305
2001-06-08,0.038394723
2001-06-09,0.04828688
2001-06-10,0.063949056
2001-06-11,0.06721309
2001-06-12,0.055136424
2001-06-13,0.035660252
2001-06-14,0.031486504
2001-06-15,0.005697209
2001-06-16,0.008327793
2001-06-17,0.01893871
2001-06-18,0.00731457
2001-06-19,0.03511394
2001-06-20,0.053271458
2001-06-21,0.05437659
2001-06-22,0.04536556
2001-06-23,0.057146955
2001-06-24,0.046852753
2001-06-25,0.006056259
2001-06-26,-0.0032917503
2001-06-27,0.017967662
2001-06-28,0.032535184
2001-06-29,0.061662167
2001-06-30,0.075290345
2001-07-01,0.061964523
2001-07-02,0.028645173
2001-07-03,0.0140926065
2001-07-04,0.02655462
2001-07-05,0.04498746
2001-07-06,0.05566758
2001-07-07,0.05096461
2001-07-08,0.066119015
2001-07-09,0.07863928
2001-07-10,0.06259188
2001-07-11,0.03106863
2001-07-12,0.03899398
2001-07-13,0.040679354
2001-07-14,0.07414858
2001-07-15,0.04069599
2001-07-16,0.03436518
2001-07-17,0.042211447
2001-07-18,0.055639025
2001-07-19,0.07627611
2001-07-20,0.080699615
2001-07-21,0.10539182
2001-07-22,0.041956097
2001-07-23,-0.018518439
2001-07-24,0.023979193
2001-07-25,0.04243086
2001-07-26,0.03833122
2001-07-27,0.035885956
2001-07-28,0.008189359
2001-07-29,0.015214113
