,0
2001-01-01,-0.032363188
2001-01-02,-0.013295353
2001-01-03,-0.03495564
2001-01-04,-0.047727454
2001-01-05,-0.051642373
2001-01-06,-0.066265725
2001-01-07,-0.06986281
2001-01-08,-0.04814801
2001-01-09,-0.048079472
2001-01-10,-0.031545434
2001-01-11,-0.049940467
2001-01-12,-0.06202421
2001-01-13,-0.08108338
2001-01-14,-0.07981596
2001-01-15,-0.07663097
2001-01-16,-0.061246738
2001-01-17,-0.066752225
2001-01-18,-0.043183327
2001-01-19,-0.031055013
2001-01-20,-0.025709616
2001-01-21,-0.03903107
2001-01-22,-0.037955802
2001-01-23,-0.029983774
2001-01-24,-0.0462164
2001-01-25,-0.09372255
2001-01-26,-0.095117606
2001-01-27,-0.08959528
2001-01-28,-0.078440994
2001-01-29,-0.06688798
2001-01-30,-0.05291911
2001-01-31,-0.064257614
2001-02-01,-0.06789211
2001-02-02,-0.06451218
2001-02-03,-0.05109491
2001-02-04,-0.05018646
2001-02-05,-0.060031444
2001-02-06,-0.08699289
2001-02-07,-0.0979327
2001-02-08,-0.07823357
2001-02-09,-0.08103257
2001-02-10,-0.084780835
2001-02-11,-0.10355187
2001-02-12,-0.10636262
2001-02-13,-0.096453376
2001-02-14,-0.08331293
2001-02-15,-0.07292273
2001-02-16,-0.06982892
2001-02-17,-0.057178184
2001-02-18,-0.08203218
2001-02-19,-0.10913695
2001-02-20,-0.10007132
2001-02-21,-0.08407396
2001-02-22,-0.061715823
2001-02-23,-0.061716978
2001-02-24,-0.055620383
2001-02-25,-0.04454677
2001-02-26,-0.053445984
2001-02-27,-0.06142358
2001-02-28,-0.054145843
2001-03-01,-0.029198049
2001-03-02,-0.05099826
2001-03-03,-0.05447124
2001-03-04,-0.034147643
2001-03-05,-0.03229366
2001-03-06,-0.067099184
2001-03-07,-0.10789559
2001-03-08,-0.09873119
2001-03-09,-0.07248593
2001-03-10,-0.03283843
2001-03-11,-0.040890425
2001-03-12,-0.061764743
2001-03-13,-0.051879883
2001-03-14,-0.052839395
2001-03-15,-0.045556236
2001-03-16,-0.033444818
2001-03-17,-0.025546158
2001-03-18,-0.037946954
2001-03-19,-0.033552174
2001-03-20,-0.026919285
2001-03-21,-0.04395454
2001-03-22,-0.083354376
2001-03-23,-0.097219564
2001-03-24,-0.07710464
2001-03-25,-0.06348773
2001-03-26,-0.050168425
2001-03-27,-0.070378445
2001-03-28,-0.065662116
2001-03-29,-0.04796947
2001-03-30,-0.035754766
2001-03-31,-0.011546981
2001-04-01,-0.006846901
2001-04-02,-0.037831414
2001-04-03,-0.053212415
2001-04-04,-0.079975225
2001-04-05,-0.0817431
2001-04-06,-0.11008587
2001-04-07,-0.09610826
2001-04-08,-0.056136254
2001-04-09,-0.042295557
2001-04-10,-0.055155832
2001-04-11,-0.051744834
2001-04-12,-0.047057245
2001-04-13,-0.033589724
2001-04-14,-0.036735427
2001-04-15,-0.026214713
2001-04-16,-0.044628978
2001-04-17,-0.054313406
2001-04-18,-0.031532522
2001-04-19,-0.04959975
2001-04-20,-0.074620746
2001-04-21,-0.08536521
2001-04-22,-0.08829031
2001-04-23,-0.0676981
2001-04-24,-0.048703115
2001-04-25,-0.058727864
2001-04-26,-0.06881312
2001-04-27,-0.085531235
2001-04-28,-0.07446831
2001-04-29,-0.028519602
2001-04-30,-0.02307933
