,0
2001-01-01,-0.054376066
2001-01-02,-0.045554604
2001-01-03,-0.035042644
2001-01-04,-0.03296529
2001-01-05,-0.03876205
2001-01-06,-0.047974583
2001-01-07,-0.044457752
2001-01-08,-0.054483443
2001-01-09,-0.047049522
2001-01-10,-0.042522404
2001-01-11,-0.04708756
2001-01-12,-0.03914788
2001-01-13,-0.02449993
2001-01-14,-0.044022042
2001-01-15,-0.04802856
2001-01-16,-0.0468525
2001-01-17,-0.04954493
2001-01-18,-0.050654218
2001-01-19,-0.04197225
2001-01-20,-0.038404237
2001-01-21,-0.038648132
2001-01-22,-0.04718329
2001-01-23,-0.04545556
2001-01-24,-0.04047333
2001-01-25,-0.04075007
2001-01-26,-0.031593967
2001-01-27,-0.042891473
2001-01-28,-0.036824975
2001-01-29,-0.047448266
2001-01-30,-0.041014202
2001-01-31,-0.033578485
2001-02-01,-0.036304824
2001-02-02,-0.03640468
2001-02-03,-0.029737854
2001-02-04,-0.03477198
2001-02-05,-0.033842705
2001-02-06,-0.038904678
2001-02-07,-0.047139063
2001-02-08,-0.04649259
2001-02-09,-0.03539252
2001-02-10,-0.047099743
2001-02-11,-0.04443315
2001-02-12,-0.049845207
2001-02-13,-0.053268403
2001-02-14,-0.04461656
2001-02-15,-0.04837285
2001-02-16,-0.03698316
2001-02-17,-0.040512215
2001-02-18,-0.041060373
2001-02-19,-0.039581295
2001-02-20,-0.03259528
2001-02-21,-0.030741496
2001-02-22,-0.03501666
2001-02-23,-0.03929157
2001-02-24,-0.038571704
2001-02-25,-0.027304746
2001-02-26,-0.03209478
2001-02-27,-0.027138313
2001-02-28,-0.025448553
2001-03-01,-0.02514003
2001-03-02,-0.03583062
2001-03-03,-0.05078088
2001-03-04,-0.048008353
2001-03-05,-0.007922052
2001-03-06,-0.04001911
2001-03-07,-0.059090573
2001-03-08,-0.05537221
2001-03-09,-0.03662193
2001-03-10,-0.054253373
2001-03-11,-0.039754283
2001-03-12,-0.038227536
2001-03-13,-0.033313744
2001-03-14,-0.04382064
2001-03-15,-0.047983367
2001-03-16,-0.048852
2001-03-17,-0.03861067
2001-03-18,-0.02498963
2001-03-19,-0.046341706
2001-03-20,-0.05675265
2001-03-21,-0.04279227
2001-03-22,-0.01318603
2001-03-23,-0.03970107
2001-03-24,-0.058253575
2001-03-25,-0.047979537
2001-03-26,-0.030532962
2001-03-27,-0.027491882
2001-03-28,-0.03707959
2001-03-29,-0.045895923
2001-03-30,-0.038925394
2001-03-31,-0.0070635774
2001-04-01,-0.02049044
2001-04-02,-0.043990087
2001-04-03,-0.035643157
2001-04-04,-0.024419785
2001-04-05,-0.045516986
2001-04-06,-0.06391365
2001-04-07,-0.059447657
2001-04-08,-0.0087074125
2001-04-09,0.008510237
2001-04-10,-0.021739148
2001-04-11,-0.05326733
2001-04-12,-0.04703102
2001-04-13,-0.02450425
2001-04-14,-0.004318885
2001-04-15,-0.030337991
2001-04-16,-0.042063415
2001-04-17,-0.04334548
2001-04-18,0.0027740959
2001-04-19,-0.022341168
2001-04-20,-0.03542361
2001-04-21,-0.038041495
2001-04-22,-0.037295844
2001-04-23,-0.0460822
2001-04-24,-0.059869412
2001-04-25,-0.062690645
2001-04-26,-0.037840184
2001-04-27,-0.020555837
2001-04-28,-0.038233887
2001-04-29,-0.042795632
2001-04-30,-0.039468173
2001-05-01,-0.008855388
2001-05-02,-0.028428106
2001-05-03,-0.043144006
2001-05-04,-0.018531913
2001-05-05,-0.01595997
2001-05-06,-0.030078648
2001-05-07,-0.043455105
2001-05-08,-0.05478713
2001-05-09,-0.036799956
2001-05-10,-0.025802046
2001-05-11,-0.032927062
2001-05-12,-0.056514814
2001-05-13,-0.06778688
2001-05-14,-0.035470236
2001-05-15,0.009237792
2001-05-16,0.011727124
2001-05-17,-0.027995974
2001-05-18,-0.049840342
2001-05-19,-0.04394863
2001-05-20,-0.028065106
2001-05-21,-0.044024955
2001-05-22,-0.023730794
2001-05-23,-0.03848398
2001-05-24,-0.042061668
2001-05-25,-0.046986774
2001-05-26,-0.051216852
2001-05-27,-0.05017586
2001-05-28,-0.055561412
2001-05-29,-0.035884045
2001-05-30,-0.041331515
2001-05-31,-0.031416923
2001-06-01,-0.0032512106
2001-06-02,0.00023406884
2001-06-03,-0.00882124
2001-06-04,-0.016937645
2001-06-05,-0.005120886
2001-06-06,-0.011990004
2001-06-07,-0.033101562
2001-06-08,-0.038498756
2001-06-09,-0.02771286
2001-06-10,-0.011481568
2001-06-11,-0.02441665
2001-06-12,0.011796668
2001-06-13,0.013019237
2001-06-14,-0.013288998
2001-06-15,-0.017452663
2001-06-16,-0.037005264
2001-06-17,-0.04799361
2001-06-18,-0.04402874
2001-06-19,-0.05341928
2001-06-20,-0.034349542
2001-06-21,-0.015525829
2001-06-22,0.00024956124
2001-06-23,0.009099828
2001-06-24,0.021725794
2001-06-25,-0.0016450355
2001-06-26,-0.01806597
2001-06-27,-0.013351944
2001-06-28,-0.026527265
2001-06-29,-0.03538522
2001-06-30,-0.034651622
2001-07-01,-0.012972504
2001-07-02,-0.032862168
2001-07-03,-0.05261449
2001-07-04,-0.03729147
2001-07-05,-0.055739373
2001-07-06,-0.051331323
2001-07-07,-0.013655711
2001-07-08,-0.0001255637
2001-07-09,-0.011793167
2001-07-10,-0.021982985
2001-07-11,-0.021266578
2001-07-12,-0.040511634
2001-07-13,-0.04429717
2001-07-14,-0.025974063
2001-07-15,-0.026250565
2001-07-16,-0.0029900188
2001-07-17,-0.044698298
2001-07-18,-0.062401604
2001-07-19,-0.06403879
2001-07-20,-0.04554252
2001-07-21,-0.040615518
2001-07-22,-0.019889308
2001-07-23,-0.015835846
2001-07-24,-0.006734853
2001-07-25,-0.0006106126
2001-07-26,-0.01544976
2001-07-27,-0.015112038
2001-07-28,-0.018534074
2001-07-29,0.015958238
2001-07-30,-0.016631832
2001-07-31,-0.033748116
2001-08-01,-0.024742758
2001-08-02,-0.024177646
2001-08-03,-0.021384215
2001-08-04,-0.022205552
2001-08-05,-0.031204233
2001-08-06,-0.018551357
2001-08-07,-0.018280009
2001-08-08,-0.05222605
2001-08-09,-0.03242888
2001-08-10,-0.028123932
2001-08-11,-0.01912207
2001-08-12,-0.016017755
2001-08-13,-0.004521484
2001-08-14,0.002468114
2001-08-15,-0.038610067
2001-08-16,-0.05248872
2001-08-17,-0.04798348
2001-08-18,-0.048865005
2001-08-19,-0.05286945
2001-08-20,-0.06380259
2001-08-21,-0.06912211
2001-08-22,-0.03736529
2001-08-23,-0.0153955715
2001-08-24,-0.017244244
2001-08-25,-0.02660393
2001-08-26,-0.041700304
2001-08-27,-0.043786585
2001-08-28,-0.049665738
2001-08-29,-0.04023551
2001-08-30,-0.036883947
2001-08-31,-0.03027075
2001-09-01,-0.018856121
2001-09-02,-0.028198436
2001-09-03,-0.035922732
2001-09-04,-0.047242448
2001-09-05,-0.048437577
2001-09-06,-0.009237827
2001-09-07,0.02528069
2001-09-08,-0.0065805963
2001-09-09,-0.024586072
2001-09-10,-0.03141142
2001-09-11,0.006425558
2001-09-12,0.033462502
2001-09-13,0.0014585113
2001-09-14,-0.061368857
2001-09-15,-0.031803925
2001-09-16,-0.019512923
2001-09-17,-0.023087934
2001-09-18,-0.025154686
2001-09-19,-0.019751398
2001-09-20,-0.011707514
2001-09-21,-0.0146530075
2001-09-22,-0.028392999
2001-09-23,-0.028104587
2001-09-24,-0.025791356
2001-09-25,-0.034850556
2001-09-26,-0.0467497
2001-09-27,-0.04798505
2001-09-28,-0.06532284
2001-09-29,-0.045247953
2001-09-30,-0.031131664
2001-10-01,-0.027919576
2001-10-02,-0.04913767
2001-10-03,-0.051908936
2001-10-04,-0.045463324
2001-10-05,-0.047107253
2001-10-06,-0.053475633
2001-10-07,-0.045170266
2001-10-08,-0.03741843
2001-10-09,-0.038817804
2001-10-10,-0.031980798
2001-10-11,-0.026071407
2001-10-12,-0.028158635
2001-10-13,-0.023821296
2001-10-14,-0.023040554
2001-10-15,-0.028989725
2001-10-16,-0.03837696
2001-10-17,-0.026108116
2001-10-18,-0.029995017
2001-10-19,-0.04713136
2001-10-20,-0.067968935
2001-10-21,-0.06804687
2001-10-22,-0.060370658
2001-10-23,-0.030942716
2001-10-24,-0.032862697
2001-10-25,-0.02931005
2001-10-26,-0.0053940215
2001-10-27,-0.0049120164
2001-10-28,-0.020368526
2001-10-29,-0.023523094
2001-10-30,-0.031173429
2001-10-31,-0.013244177
2001-11-01,-0.012320813
2001-11-02,-0.008988096
2001-11-03,-0.033790376
2001-11-04,-0.062089603
2001-11-05,-0.06806474
2001-11-06,-0.06903073
2001-11-07,-0.049185824
2001-11-08,-0.04407579
2001-11-09,-0.028664397
2001-11-10,-0.032119717
2001-11-11,-0.048392024
2001-11-12,-0.06687845
2001-11-13,-0.06190078
2001-11-14,-0.044920325
2001-11-15,-0.06138261
2001-11-16,-0.0659435
2001-11-17,-0.056125443
2001-11-18,-0.048803985
2001-11-19,-0.049959283
2001-11-20,-0.052427914
