,0
2001-01-01,-0.041234914
2001-01-02,-0.045621496
2001-01-03,-0.037425824
2001-01-04,-0.02332371
2001-01-05,-0.028365163
2001-01-06,-0.04278189
2001-01-07,-0.04320265
2001-01-08,-0.04919364
2001-01-09,-0.04931949
2001-01-10,-0.049349163
2001-01-11,-0.036452133
2001-01-12,-0.030132527
2001-01-13,-0.03744212
2001-01-14,-0.02902083
2001-01-15,-0.028546209
2001-01-16,-0.030243412
2001-01-17,-0.03974784
2001-01-18,-0.028905272
2001-01-19,-0.032098558
2001-01-20,-0.052872512
2001-01-21,-0.04629053
2001-01-22,-0.050126333
2001-01-23,-0.03265366
2001-01-24,-0.03714435
2001-01-25,-0.035702195
2001-01-26,-0.039084274
2001-01-27,-0.043233227
2001-01-28,-0.059725452
2001-01-29,-0.06306987
2001-01-30,-0.050165948
2001-01-31,-0.04226032
2001-02-01,-0.04210503
2001-02-02,-0.051042017
2001-02-03,-0.03970145
2001-02-04,-0.03716724
2001-02-05,-0.03159822
2001-02-06,-0.029177666
2001-02-07,-0.027352018
2001-02-08,-0.0332635
2001-02-09,-0.048088755
2001-02-10,-0.053566813
2001-02-11,-0.041838814
2001-02-12,-0.0497468
2001-02-13,-0.055599544
2001-02-14,-0.052901324
2001-02-15,-0.039599944
2001-02-16,-0.03790697
2001-02-17,-0.042696882
2001-02-18,-0.044901144
2001-02-19,-0.040581476
2001-02-20,-0.05145539
2001-02-21,-0.05649279
2001-02-22,-0.048398506
2001-02-23,-0.043678623
2001-02-24,-0.045672566
2001-02-25,-0.04886727
2001-02-26,-0.05519979
2001-02-27,-0.052138317
2001-02-28,-0.03374423
2001-03-01,-0.02849318
2001-03-02,-0.034223218
2001-03-03,-0.024548212
2001-03-04,-0.023341278
2001-03-05,-0.028279545
2001-03-06,-0.024449209
2001-03-07,-0.005422276
2001-03-08,-0.024656398
2001-03-09,-0.041207526
2001-03-10,-0.04500712
2001-03-11,-0.027292842
2001-03-12,-0.027185505
2001-03-13,-0.02466733
2001-03-14,-0.044250757
2001-03-15,-0.03435519
2001-03-16,-0.02723937
2001-03-17,-0.023448573
2001-03-18,-0.03489806
2001-03-19,-0.019668126
2001-03-20,-0.010413291
2001-03-21,-0.028612986
2001-03-22,-0.040078603
2001-03-23,-0.019104434
2001-03-24,-0.022243613
2001-03-25,-0.036336485
2001-03-26,-0.01724735
2001-03-27,-0.027870366
2001-03-28,-0.02115959
2001-03-29,-0.011395534
2001-03-30,-0.023785576
2001-03-31,-0.028377289
2001-04-01,-0.0315776
2001-04-02,-0.033036824
2001-04-03,-0.020578822
2001-04-04,-0.0060450807
